Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
In which year did Nigeria gain independence from Britain?,easy,A,1960,1957,1963,1954
"The Yoruba people are known for their rich artistic culture, particularly in which form of traditional craft?",medium,A,Wood carving,Pottery,Textile weaving,Metalwork
Fill in the blank: The largest organ in the human body is the ______.,easy,B,Heart,Skin,Liver,Lung
Which famous Nigerian artist is known for the hit song 'Fall' and has gained international recognition?,medium,C,Wizkid,Burna Boy,Davido,Tiwa Savage
"In the human skeletal system, the femur is classified as what type of bone?",hard,C,Flat bone,Irregular bone,Long bone,Short bone
Who was the first president of Nigeria after independence in 1960?,hard,A,Nnamdi Azikiwe,Yakubu Gowon,Muhammadu Buhari,Olusegun Obasanjo
The largest organ in the human body is the _______.,easy,C,Heart,Liver,Skin,Lungs
In which year did Nigeria gain independence from British colonial rule?,easy,A,1960,1965,1970,1980
Fill in the blank: The _______ is known as the 'Giant of Africa'.,medium,B,Democratic Republic of Congo,Nigeria,South Africa,Egypt
Which Nigerian musician is famous for the hit song 'Fall' released in 2017?,medium,C,Wizkid,Burna Boy,Davido,Olamide
Who is regarded as the father of modern Nigerian literature?,hard,A,Chinua Achebe,Wole Soyinka,Ben Okri,Flora Nwapa
The human body has how many bones at adulthood?,easy,A,206,256,196,186
________ is known for his role in the movie 'The Wedding Party'.,medium,B,Jim Iyke,Banky W,Richard Mofe-Damijo,Ramsey Nouah
The heart's main function is to _______ blood throughout the body.,easy,B,filter,pump,store,produce
In which year did the Biafran War end?,medium,B,1969,1970,1968,1971
________ is the largest city in Nigeria.,easy,B,Abuja,Lagos,Port Harcourt,Ibadan
What part of the body is responsible for producing insulin?,medium,B,Liver,Pancreas,Kidneys,Stomach
Who directed the movie 'Lionheart'?,hard,A,Genevieve Nnaji,Kunle Afolayan,Tunde Kilani,Izu Ojukwu
The process of digestion begins in the _______.,easy,C,stomach,esophagus,mouth,intestine
In which year did Nigeria become a republic?,medium,A,1963,1965,1970,1975
The basic unit of life in all living organisms is called a _______.,easy,B,tissue,cell,organ,system
Who is commonly referred to as the 'King of Afrobeat'?,medium,A,Fela Kuti,Burna Boy,Wizkid,Davido
"The skin is made up of three layers: epidermis, dermis, and _______.",medium,C,fat,muscle,hypodermis,bone
________ was Nigeria's first military ruler after independence.,hard,C,Yakubu Gowon,Muhammadu Buhari,Aguiyi Ironsi,Sani Abacha
