Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Who is the director of the acclaimed Nollywood film 'Living in Bondage: Breaking Free'?,easy,C,A. Kunle Afolayan,B. Kemi Adetiba,C. Ramsey Nouah,D. Mo Abudu
Which Nigerian actor won Best Actor in a Drama at the 2020 Africa Magic Viewers' Choice Awards?,medium,C,A. Zubby Michael,B. Ramsey Nouah,C. Timini Egbuson,D. RMD
The Aba Women's Riot was a significant uprising during which era?,hard,A,A. Colonial,B. Post-colonial,C. Pre-colonial,D. Modern
"Which Nigerian city is known as the center of the movie industry, Nollywood?",easy,C,A. Abuja,B. Enugu,C. Lagos,D. Kano
Which organ in the human body is primarily responsible for detoxifying chemicals and metabolizing drugs?,easy,C,A. Kidneys,B. Stomach,C. Liver,D. Pancreas
Fela Kuti is famous for pioneering which music genre?,medium,C,A. Jazz,B. Reggae,C. Afrobeat,D. Highlife
The Yoruba ethnic group is predominantly found in which region of Nigeria?,easy,C,A. North,B. South East,C. South West,D. South South
What was the primary staple crop grown by the ancient Nok people?,hard,A,A. Millet,B. Cassava,C. Yam,D. Rice
Who directed the critically acclaimed film 'The Wedding Party'?,easy,C,A. Funke Akindele,B. Kunle Afolayan,C. Kemi Adetiba,D. Akin Omotoso
Which Nigerian historical figure is a recognized advisor and composer of the national anthem?,medium,B,A. Tai Solarin,B. Lillian Jean Williams,C. Ben Odiase,D. Wole Soyinka
Which Nigerian female artist released the album 'Mama Africa'?,medium,C,A. Simi,B. Niniola,C. Yemi Alade,D. Seyi Shay
Who played the lead male role in the movie 'October 1'?,hard,D,A. OC Ukeje,B. Femi Adebayo,C. Sola Sobowale,D. Ademola Adedoyin
What primary role does red blood cells play in the human body?,medium,B,A. Fight infections,B. Carry oxygen,C. Digest food,D. Clot blood
Which Nigerian king was renowned for his resistance against British forces?,hard,B,A. Oba of Benin,B. King Jaja of Opobo,C. King Kosoko,D. Alaafin of Oyo
Secondary sexual characteristics in humans are largely controlled by which hormones?,hard,C,A. Insulin,B. Adrenaline,C. Estrogen and Testosterone,D. Thyroxine
Whose music album titled 'Twice as Tall' won a Grammy Award in 2021?,medium,B,A. Wizkid,B. Burna Boy,C. Davido,D. Yemi Alade
What large artery supplies blood to the body from the heart?,medium,B,A. Pulmonary artery,B. Aorta,C. Vena cava,D. Coronary artery
"In the human body, what is the function of the small intestine?",hard,B,A. Store bile,B. Absorb nutrients,C. Produce insulin,D. Filter toxins
Which Nollywood movie features the story of a wealthy businessman and his mistress?,medium,A,A. Living in Bondage,B. Lionheart,C. Chief Daddy,D. Wedding Party
Which ancient city in Nigeria was known for its terracotta sculptures?,medium,B,A. Kano,B. Nok,C. Benin,D. Ife
